SampleDate;Copenhagen;Aarhus;Gentofte;Rudersdal
04-12-2020;443;193;36;19
05-12-2020;440;113;30;30
06-12-2020;477;129;45;33
07-12-2020;697;200;70;40
08-12-2020;757;235;68;60
09-12-2020;767;254;67;52
10-12-2020;838;280;85;57
11-12-2020;720;301;68;59
12-12-2020;738;268;76;53
13-12-2020;788;215;82;54
14-12-2020;841;317;78;51
15-12-2020;872;356;72;39
16-12-2020;892;295;82;55
17-12-2020;690;251;66;34
18-12-2020;589;200;60;39
19-12-2020;461;201;24;48
20-12-2020;405;168;40;29
21-12-2020;504;177;55;23
22-12-2020;462;199;49;33
23-12-2020;524;232;47;28
24-12-2020;207;74;13;16
25-12-2020;275;78;30;18
26-12-2020;440;169;39;24
27-12-2020;327;136;29;22
28-12-2020;433;201;31;37
29-12-2020;287;180;39;21
30-12-2020;346;178;39;22
31-12-2020;182;86;30;10
01-01-2021;183;75;22;17
02-01-2021;262;157;45;14
03-01-2021;277;111;21;19
04-01-2021;363;205;21;21
05-01-2021;268;129;33;15
06-01-2021;240;117;17;8
07-01-2021;212;168;18;10
08-01-2021;204;105;13;10
09-01-2021;139;78;15;12
10-01-2021;126;62;20;4
11-01-2021;182;77;11;7
12-01-2021;226;65;18;15
13-01-2021;164;60;18;13
14-01-2021;149;71;11;15
15-01-2021;138;36;15;6
16-01-2021;122;21;8;6
17-01-2021;110;28;8;7
18-01-2021;134;45;11;9
19-01-2021;123;30;13;9
20-01-2021;115;28;16;8
21-01-2021;128;38;10;9
22-01-2021;99;32;5;4
23-01-2021;100;27;6;4
24-01-2021;88;17;6;5
25-01-2021;121;12;5;9
26-01-2021;99;30;13;8
27-01-2021;85;11;4;3
28-01-2021;71;19;10;10
29-01-2021;70;8;11;3
30-01-2021;64;14;1;4
31-01-2021;62;16;8;6
01-02-2021;67;20;7;2
02-02-2021;87;17;4;4
03-02-2021;53;17;3;1
04-02-2021;74;20;7;2
05-02-2021;56;21;4;5
06-02-2021;55;13;3;2
07-02-2021;41;15;7;2
